pid,season,position,gp,war_indiv
8477962,2021,L,57,0.236
8477964,2021,L,93,2.097
8482061,2021,L,1,-0.017
8482062,2021,R,8,-0.081
8477967,2021,G,64,0
8477968,2021,G,59,0
8477969,2021,D,79,0.694
8477970,2021,G,44,0
8482067,2021,D,3,0.032
8477974,2021,C,1,-0.007
8482070,2021,R,2,-0.02
8482072,2021,D,6,0.031
8482073,2021,D,63,0.449
8477979,2021,R,88,0.328
8482076,2021,G,25,0
8482077,2021,L,1,-0.003
8482078,2021,L,82,2.309
8482079,2021,C,2,-0.025
8477986,2021,D,91,1.585
8477987,2021,C,74,1.271
8477989,2021,C,56,1.026
8477992,2021,G,11,0
8482089,2021,L,9,0.036
8477996,2021,C,75,0.147
8482093,2021,R,82,1.833
8477998,2021,L,95,0.634
8482097,2021,R,2,0.093
8478007,2021,G,59,0
8478009,2021,G,52,0
8478010,2021,C,75,2.841
8482109,2021,L,99,0.946
8482110,2021,C,82,1.393
8478013,2021,D,51,0.257
8482111,2021,D,7,0.081
8478017,2021,D,32,0.33
8482113,2021,C,74,2.106
8478020,2021,R,56,0.408
8478021,2021,D,33,0.115
8482116,2021,C,79,2.613
8482117,2021,L,11,-0.058
8478024,2021,G,47,0
8482124,2021,R,42,0.154
